route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
315,PMPML,315,,,3,,9D6B31,
358,PMPML,358,,,3,,86F6BE,
333,PMPML,333,,,3,,00A7FF,
357,PMPML,357,,,3,,5B4F46,
43,PMPML,43,,,3,,F0E280,
116,PMPML,116,,,3,,E9AA83,
360,PMPML,360,,,3,,899ACF,
19A,PMPML,19A,,,3,,100B29,
19,PMPML,19,,,3,,92DFCC,
2,PMPML,2,,,3,,9ECE8C,
126B,PMPML,126B,,,3,,DFDF9D,
126,PMPML,126,,,3,,D8B488,
167,PMPML,167,,,3,,9ED6B1,
36,PMPML,36,,,3,,C44343,
20,PMPML,20,,,3,,C7FDC3,
19D,PMPML,19D,,,3,,D3D683,
22A,PMPML,22A,,,3,,EEDE9B,
22,PMPML,22,,,3,,87CFFA,
11,PMPML,11,,,3,,ADD3E2,
26,PMPML,26,,,3,,87F098,
27,PMPML,27,,,3,,D58E9B,
66,PMPML,66,,,3,,6D399B,
70B,PMPML,70B,,,3,,D1CAE8,
70A,PMPML,70A,,,3,,A4B3FB,
70,PMPML,70,,,3,,BAEC87,
70C,PMPML,70C,,,3,,C182F3,
165,PMPML,165,,,3,,BA6868,
158,PMPML,158,,,3,,A8A7DC,
128,PMPML,128,,,3,,77F1C0,
94,PMPML,94,,,3,,E795B9,
277A,PMPML,277A,,,3,,7FB891,
277,PMPML,277,,,3,,93D8D2,
119,PMPML,119,,,3,,CCB28E,
140,PMPML,140,,,3,,C7F7B1,
198,PMPML,198,,,3,,8FECA2,
227,PMPML,227,,,3,,8B869C,
233,PMPML,233,,,3,,DAB6AF,
42,PMPML,42,,,3,,E8BE97,
320,PMPML,320,,,3,,96E6C7,
327,PMPML,327,,,3,,E5E8AD,
163,PMPML,163,,,3,,09B1E6,
13,PMPML,13,,,3,,D997AE,
64,PMPML,64,,,3,,D5B3F9,
72,PMPML,72,,,3,,C9B3B9,
78,PMPML,78,,,3,,91C1F8,
82,PMPML,82,,,3,,C4B4E1,
5,PMPML,5,,,3,,BCE4E3,
174,PMPML,174,,,3,,CEC9B6,
174A,PMPML,174A,,,3,,E6FA80,
351,PMPML,351,,,3,,7DC2B4,
337,PMPML,337,,,3,,05FF00,
169,PMPML,169,,,3,,AD3F8E,
326,PMPML,326,,,3,,B48DF2,
332,PMPML,332,,,3,,817404,
139,PMPML,139,,,3,,D9E7FB,
43A,PMPML,43A,,,3,,5BA346,
142,PMPML,142,,,3,,B7ACFC,
256,PMPML,256,,,3,,D2ACD2,
361,PMPML,361,,,3,,A0C09C,
257,PMPML,257,,,3,,35235C,
101,PMPML,101,,,3,,87A585,
192,PMPML,192,,,3,,7CAAC3,
301,PMPML,301,,,3,,94A3E1,
301A,PMPML,301A,,,3,,680B8E,
313,PMPML,313,,,3,,31198C,
368,PMPML,368,,,3,,7F37A1,
313A,PMPML,313A,,,3,,A3BCE9,
305,PMPML,305,,,3,,D9BFA0,
367,PMPML,367,,,3,,E4EA8F,
144,PMPML,144,,,3,,87560E,
149,PMPML,149,,,3,,4C6919,
305B,PMPML,305B,,,3,,B28E9D,
322,PMPML,322,,,3,,A385F6,
367C,PMPML,367C,,,3,,A588DE,
VJR3,PMPML,VJR3,,,3,,A19FE2,
24,PMPML,24,,,3,,E5AAA6,
71,PMPML,71,,,3,,0A5C9A,
88,PMPML,88,,,3,,99FAC9,
136,PMPML,136,,,3,,9C8F83,
304,PMPML,304,,,3,,DFB8FE,
122B,PMPML,122B,,,3,,B2A6D3,
304A,PMPML,304A,,,3,,B9B383,
321,PMPML,321,,,3,,09315A,
359,PMPML,359,,,3,,8EA714,
108,PMPML,108,,,3,,D7FEAE,
379,PMPML,379,,,3,,28250B,
143,PMPML,143,,,3,,A580F1,
380,PMPML,380,,,3,,04352E,
338,PMPML,338,,,3,,8C1F39,
13A,PMPML,13A,,,3,,B2CFFA,
209,PMPML,209,,,3,,003D7D,
HA,PMPML,HA,,,3,,35309D,
601,PMPML,601,,,3,,3F4A51,
283,PMPML,283,,,3,,89F982,
28,PMPML,28,,,3,,87C3E1,
195,PMPML,195,,,3,,97D99D,
200A,PMPML,200A,,,3,,23420A,
200,PMPML,200,,,3,,8FF3B9,
20B,PMPML,20B,,,3,,7A7FDD,
303,PMPML,303,,,3,,949CC7,
372,PMPML,372,,,3,,93ADB2,
307,PMPML,307,,,3,,E1A6C7,
328,PMPML,328,,,3,,9E174A,
330,PMPML,330,,,3,,9E254A,
308,PMPML,308,,,3,,C5BFAB,
334,PMPML,334,,,3,,C7A5DD,
302,PMPML,302,,,3,,7FC195,
302D,PMPML,302D,,,3,,EBA9ED,
335,PMPML,335,,,3,,351F24,
335A,PMPML,335A,,,3,,99C9CC,
105,PMPML,105,,,3,,D5E37F,
58,PMPML,58,,,3,,D088E6,
59,PMPML,59,,,3,,9AB3F4,
63,PMPML,63,,,3,,BFDD8A,
141,PMPML,141,,,3,,C5C4EA,
186,PMPML,186,,,3,,C1A88D,
37,PMPML,37,,,3,,84ECF6,
