route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
315,1,NORMAL_315_Dudulgaon To Pune Station Via Bhosari Nashik Phata_Down-0500_0,Dudulgaon To Pune Station Via Bhosari Nashik Phata,,,,4843,,
315,1,NORMAL_315_Pune Station To Dudulgaon Via Nashik Phata Bhosari_Up-0605_0,Pune Station To Dudulgaon Via Nashik Phata Bhosari,,,,4842,,
315,1,NORMAL_315_Dudulgaon To Pune Station Via Bhosari Nashik Phata_Down-0720_0,Dudulgaon To Pune Station Via Bhosari Nashik Phata,,,,4843,,
315,1,NORMAL_315_Pune Station To Dudulgaon Via Nashik Phata Bhosari_Up-0920_0,Pune Station To Dudulgaon Via Nashik Phata Bhosari,,,,4842,,
315,1,NORMAL_315_Dudulgaon To Pune Station Via Bhosari Nashik Phata_Down-1050_0,Dudulgaon To Pune Station Via Bhosari Nashik Phata,,,,4843,,
315,1,NORMAL_315_Pune Station To Dudulgaon Via Nashik Phata Bhosari_Up-1215_0,Pune Station To Dudulgaon Via Nashik Phata Bhosari,,,,4842,,
315,1,NORMAL_315_Dudulgaon To Pune Station Via Bhosari Nashik Phata_Down-1340_0,Dudulgaon To Pune Station Via Bhosari Nashik Phata,,,,4843,,
315,1,NORMAL_315_Pune Station To Dudulgaon Via Nashik Phata Bhosari_Up-1440_0,Pune Station To Dudulgaon Via Nashik Phata Bhosari,,,,4842,,
315,1,NORMAL_315_Dudulgaon To Pune Station Via Bhosari Nashik Phata_Down-1615_0,Dudulgaon To Pune Station Via Bhosari Nashik Phata,,,,4843,,
315,1,NORMAL_315_Pune Station To Dudulgaon Via Nashik Phata Bhosari_Up-1740_0,Pune Station To Dudulgaon Via Nashik Phata Bhosari,,,,4842,,
315,1,NORMAL_315_Dudulgaon To Pune Station Via Bhosari Nashik Phata_Down-1945_0,Dudulgaon To Pune Station Via Bhosari Nashik Phata,,,,4843,,
315,1,NORMAL_315_Pune Station To Dudulgaon Via Nashik Phata Bhosari_Up-2105_0,Pune Station To Dudulgaon Via Nashik Phata Bhosari,,,,4842,,
315,1,NORMAL_315_Bhosari PMT Chowk To Dighi_Down-0630_0,Bhosari PMT Chowk To Dighi,,,,4849,,
315,1,NORMAL_315_Dighi To Deccan College_Down-0700_0,Dighi To Deccan College,,,,4845,,
315,1,NORMAL_315_Deccan College To Pune Station Depot_Down-0730_0,Deccan College To Pune Station Depot,,,,4847,,
315,1,NORMAL_315_Pune station To Bhosari via vishrantwadi_Up-0800_0,Pune station To Bhosari via vishrantwadi,,,,4069,,
315,1,NORMAL_315_Bhosari To Pune station via vishrantwadi_Down-0910_0,Bhosari To Pune station via vishrantwadi,,,,4070,,
315,1,NORMAL_315_Pune station To Bhosari via vishrantwadi_Up-1020_0,Pune station To Bhosari via vishrantwadi,,,,4069,,
315,1,NORMAL_315_Bhosari To Pune station via vishrantwadi_Down-1140_0,Bhosari To Pune station via vishrantwadi,,,,4070,,
315,1,NORMAL_315_Pune Station Depot To Deccan College_Up-1315_0,Pune Station Depot To Deccan College,,,,4846,,
315,1,NORMAL_315_Deccan College To Dighi_Up-1345_0,Deccan College To Dighi,,,,4844,,
315,1,NORMAL_315_Dighi To Bhosari PMT Chowk_Up-1415_0,Dighi To Bhosari PMT Chowk,,,,4848,,
315,1,NORMAL_315_Bhosari To Pune station via vishrantwadi_Down-1500_0,Bhosari To Pune station via vishrantwadi,,,,4070,,
315,1,NORMAL_315_Pune station To Bhosari via vishrantwadi_Up-1605_0,Pune station To Bhosari via vishrantwadi,,,,4069,,
315,1,NORMAL_315_Bhosari To Pune station via vishrantwadi_Down-1740_0,Bhosari To Pune station via vishrantwadi,,,,4070,,
315,1,NORMAL_315_Pune station To Bhosari via vishrantwadi_Up-1850_0,Pune station To Bhosari via vishrantwadi,,,,4069,,
315,1,NORMAL_315_Bhosari To Pune station via vishrantwadi_Down-2005_0,Bhosari To Pune station via vishrantwadi,,,,4070,,
315,1,NORMAL_315_Pune station To Bhosari via vishrantwadi_Up-2115_0,Pune station To Bhosari via vishrantwadi,,,,4069,,
358,1,NORMAL_358_Bhosari To Rajgurunagar_Up-0440_0,Bhosari To Rajgurunagar,,,,3817,,
358,1,NORMAL_358_Rajgurunagar To Bhosari_Down-0540_0,Rajgurunagar To Bhosari,,,,3818,,
358,1,NORMAL_358_Bhosari To Rajgurunagar_Up-0650_0,Bhosari To Rajgurunagar,,,,3817,,
358,1,NORMAL_358_Rajgurunagar To Bhosari_Down-0805_0,Rajgurunagar To Bhosari,,,,3818,,
358,1,NORMAL_358_Bhosari To Rajgurunagar_Up-0950_0,Bhosari To Rajgurunagar,,,,3817,,
358,1,NORMAL_358_Rajgurunagar To Bhosari_Down-1105_0,Rajgurunagar To Bhosari,,,,3818,,
358,1,NORMAL_358_Bhosari To Rajgurunagar_Up-1225_0,Bhosari To Rajgurunagar,,,,3817,,
358,1,NORMAL_358_Rajgurunagar To Bhosari_Down-1340_0,Rajgurunagar To Bhosari,,,,3818,,
358,1,NORMAL_358_Bhosari To Rajgurunagar_Up-1455_0,Bhosari To Rajgurunagar,,,,3817,,
358,1,NORMAL_358_Rajgurunagar To Bhosari_Down-1615_0,Rajgurunagar To Bhosari,,,,3818,,
358,1,NORMAL_358_Bhosari To Rajgurunagar_Up-1805_0,Bhosari To Rajgurunagar,,,,3817,,
358,1,NORMAL_358_Rajgurunagar To Bhosari_Down-1925_0,Rajgurunagar To Bhosari,,,,3818,,
358,1,NORMAL_358_Bhosari To Rajgurunagar_Up-0700_0,Bhosari To Rajgurunagar,,,,3817,,
358,1,NORMAL_358_Rajgurunagar To Bhosari_Down-0815_0,Rajgurunagar To Bhosari,,,,3818,,
358,1,NORMAL_358_Bhosari To Rajgurunagar_Up-0935_0,Bhosari To Rajgurunagar,,,,3817,,
358,1,NORMAL_358_Rajgurunagar To Bhosari_Down-1050_0,Rajgurunagar To Bhosari,,,,3818,,
358,1,NORMAL_358_Bhosari To Rajgurunagar_Up-1235_0,Bhosari To Rajgurunagar,,,,3817,,
358,1,NORMAL_358_Rajgurunagar To Bhosari_Down-1350_0,Rajgurunagar To Bhosari,,,,3818,,
358,1,NORMAL_358_Bhosari To Rajgurunagar_Up-1505_0,Bhosari To Rajgurunagar,,,,3817,,
358,1,NORMAL_358_Rajgurunagar To Bhosari_Down-1625_0,Rajgurunagar To Bhosari,,,,3818,,
358,1,NORMAL_358_Bhosari To Rajgurunagar_Up-1815_0,Bhosari To Rajgurunagar,,,,3817,,
358,1,NORMAL_358_Rajgurunagar To Bhosari_Down-1935_0,Rajgurunagar To Bhosari,,,,3818,,
358,1,NORMAL_358_Bhosari To Rajgurunagar_Up-2055_0,Bhosari To Rajgurunagar,,,,3817,,
